paragraph_id,original_text,final_climate,language
322894_14,"Concernant la promotion des exportations, Switzerland Global Enterprise (SGE) va renforcer ses mesures de manière ciblée là où on voit que des obstacles augmentent pour les exportateurs. Dans ce cas, c'est le service d'information Exporthelp qui va être développé. Il s'agit surtout de demandes techniques de soutien à l'exportation. SGE va aussi renforcer l'identification d'opportunités commerciales pour répondre à une demande croissante des PME par le biais, notamment, de plateformes numériques.",0,FR
268027_6,"Dann kommen wir zu Artikel 11. Hier geht es um die Frage der Kontrollen. Es gibt eine Mehrheit Ihrer Kommission, die nur mobile Kontrollen möchte. Der Ständerat, der Bundesrat und die Minderheit I (Schaffner) beantragen Ihnen, einfach ""Anlagen"" zur Kontrolle im Gesetz zu belassen. Das würde uns dann die Möglichkeit geben, dort, wo wir allenfalls einen Missbrauch vermuten, auch mit einer festen Anlage zu kontrollieren - das war ja auch die Befürchtung von Herrn Nationalrat Wobmann.",0,DE
353357_2,"Erlauben Sie mir, bei dieser Gelegenheit etwas zurückzublicken. Die betriebswirtschaftlichen und strukturellen Probleme beim Einzelwagenladungsverkehr sind ja nicht neu, sondern schon seit vielen Jahren bekannt. Sie waren der Grund, weshalb sich die gesamte Güterversorgungsbranche unseres Landes, also Schiene und Strasse, vor einigen Jahren zusammengesetzt und überlegt hat, was es in der Güterversorgungssystematik unseres Landes braucht, welche Rolle der Einzelwagenladungsverkehr spielt und - wenn er eine wichtige Rolle spielt - was zu tun ist, damit er auch in Zukunft überlebt.",0,DE
347446_12,Die Kommission beantragt Ihnen deshalb einstimmig Eintreten auf das Abkommen sowie die Verabschiedung der beiden Verpflichtungskredite. In der Detailberatung[NB]werde[NB]ich[NB]mich[NB]noch[NB]zu den zusätzlichen Anträgen der Kommission zum Energiegesetz und zum Rohrleitungsgesetz äussern.,0,DE
360040_1,"Ce projet n'est sans doute pas la vision rêvée d'un groupe de ce Parlement. C'est un compromis. La politique, c'est l'art du possible. Bien sûr, on pourrait être tentés de ne pas entrer en matière sur le pacte européen sur la migration et l'asile, mais pour quelle alternative ? Dans ces débats, nous défendrons l'approche de la migration basée sur la solidarité avec celles et ceux qui ont tout perdu, sur l'intégration et sur la responsabilité aussi de la Suisse, ce pays situé au coeur de l'Europe. Nous défendrons plusieurs propositions d'amendements, notamment pour des délais moins stricts et un contrôle judiciaire des détentions dans le cadre de la procédure Dublin après 96 heures, inspiré de l'habeas corpus.",0,FR
356447_8,"Jetzt haben wir aufgrund der Debatte rechtzeitig disponiert in der Annahme, dass Sie dieses Gesetz annehmen. Wenn Sie es ablehnen, ist nichts vergeben. Aber wenn Sie es annehmen, sind wir bereit. Denn mit jedem Tag, den wir später kontraktieren, kosten diese Turbinen mehr, weil andere Länder dasselbe machen wollen. Es ist nicht einfach, diese Turbinen zu beschaffen. Das Bundesamt für Energie hat jetzt ein halbes Jahr lang eine hervorragende Arbeit geleistet, sodass die Preise massiv reduziert werden können. Es hat mit den Anbietern verhandelt und hat jetzt den Zuschlag. Denn es geht darum, dass diese Materialien nicht in ein anderes Land gehen. Deshalb ist es gegenüber dieser Arbeit nicht fair, wenn man hier nach vorne kommt und sagt, wir würden den Parlamentswillen missachten. Das will ich nicht, und das tun wir auch nicht. Das ist mir sehr wichtig.",1,DE
243939_3,"L'accord avec l'Indonésie ayant été négocié en toute clarté avec les partenaires, s'il devait y avoir une réplique de ce dernier dans le cadre d'un éventuel accord avec la Malaisie, alors les aspects qui vous causent de l'inquiétude auraient été pris en compte.",0,FR
353669_2,"Nous soutiendrons donc cet accord sans réserve et soutiendrons également la position de la commission, qui a proposé quelques modifications à la version adoptée par le Conseil des Etats.",0,FR
225743_3,"Niemand bestreitet hier im Saal, dass der Verkehr hektischer geworden ist, und zunehmend sind Automobilistinnen und Automobilisten trotz elektronischen Assistenten überfordert. Es gibt immer mehr Signale, obwohl der Bundesrat ja einmal von einer Halbierungsstrategie gesprochen hatte. Da diese aber irgendwo versandet ist, gibt es heute eben immer mehr Signale. Das Alter für medizinische Untersuchungen von Senioren wird heraufgesetzt, und die Nachschulungen für Neulenkerinnen und Neulenker werden reduziert. Hier die Regeln noch einmal zu verkomplizieren, ist eine falsche Stossrichtung. Hier wäre es dringend notwendig, dass wir bei einfachen Regeln bleiben. Wann ist das Vorbeifahren ein Spurwechsel? Wann ist es ein Vorbeifahren, wann ein Überholen? Vielleicht würde das Erlauben des Rechtsvorbeifahrens die Kapazität tatsächlich etwas erhöhen. Dagegen wehre ich mich nicht. Es ist immer noch besser, die Kapazität zu erhöhen, als neue Spuren zu bauen.",0,DE
314264_1,"Ja, Herr Kollege Girod, können Sie mir sagen, wie man dem globalen Klima hilft, wenn wir hier in der Schweiz auf Elektroautos setzen und unsere alten Benzin- und Dieselautos in den Export in andere Länder geben? Wie hilft man da dem weltweiten Klima?",1,DE
