keyword_french,keyword_english
aérosols,aerosols
agrophotovoltaïque,agrophotovoltaics
aviation,aviation
biocarburants,biofuels
biodiversité,biodiversity
biogaz,biogas
canicule,heat wave
canicules,heat waves
carbone,carbon
carburant,fuel
carburants,fuels
centrales,power plants
climat,climate
climatique,climatic
climatiques,climatic
CO2,CO2
COP,COP
décarbonation,decarbonization
déforestation,deforestation
électricité,electricity
énergie,energy
énergies,energies
éolien,wind power
GIEC,IPCC
hydraulique,hydraulic
hydroélectricité,hydroelectric power
hydroélectriques,hydroelectric
nucléaire,nuclear
nucléaires,nuclear
photovoltaïque,photovoltaic
réchauffement,heating
renouvelables,renewables
