"ClimateBusiness","ID","LanguageOfText","annotation_id","annotator","created_at","id","lead_time","paragraph_translated","sentiment","updated_at"
True,"322894_14","FR",64,"1","2025-12-13T00:15:03.707718Z",3001,42.972,"In the area of export promotion, Switzerland Global Enterprise (SGE) will be stepping up its targeted measures where it can be seen that obstacles are increasing for exporters. In this case, the Exporthelp information service will be expanded. These will mainly be technical requests for export support. SGE will also step up the identification of business opportunities to meet growing demand from SMEs, notably through digital platforms.","non_climate","2025-12-13T00:15:03.707718Z"
True,"268027_6","DE",65,"1","2025-12-13T00:15:26.505674Z",3002,22.529,"Then we come to Article 11, which deals with the question of controls. There is a majority of your committee that only wants mobile controls. The Council of States, the Federal Council and Minority I (Schaffner) propose that you simply leave ""installations"" for inspection in the law. This would then give us the opportunity to carry out checks with a fixed installation where we suspect abuse - that was also the fear of National Councillor Wobmann.","non_climate","2025-12-13T00:15:26.505674Z"
True,"353357_2","DE",66,"1","2025-12-13T00:16:00.884435Z",3003,117.08700000000002,"Allow me to take this opportunity to look back a little. The economic and structural problems in single wagonload transport are not new, but have been known for many years. They were the reason why the entire freight supply sector in our country, i.e. rail and road, sat down together a few years ago and considered what was needed in our country's freight supply system, what role single wagonload transport plays and - if it plays an important role - what needs to be done to ensure that it survives in the future.","non_classifiable","2025-12-30T11:15:06.749863Z"
True,"347446_12","DE",67,"1","2025-12-13T00:16:17.801336Z",3004,154.768,"The Commission therefore unanimously proposes that you approve the agreement and the two credit commitments. In the detailed consultation[SR]I[SR]will[SR]comment[SR]on the Commission's additional motions on the Energy Act and the Pipelines Act.","non_classifiable","2025-12-30T10:44:58.782934Z"
False,"360040_1","FR",68,"1","2025-12-13T00:16:41.050770Z",3005,23.004,"This project is undoubtedly not the dream vision of any group in this Parliament. It's a compromise. Politics is the art of the possible. Of course, we might be tempted not to go ahead with the European Pact on Migration and Asylum, but what's the alternative? In these debates, we will be defending an approach to migration based on solidarity with those who have lost everything, on integration, and on the responsibility of Switzerland as well, this country located at the heart of Europe. We will be defending a number of proposed amendments, including less stringent deadlines and judicial review of detentions under the Dublin procedure after 96 hours, inspired by habeas corpus.","non_climate","2025-12-13T00:16:41.050770Z"
True,"356447_8","DE",69,"1","2025-12-13T00:17:28.070689Z",3006,69.688,"We have now made a timely decision based on the debate on the assumption that you will accept this law. If you reject it, nothing is forgiven. But if you accept it, we are ready. Because every day that we contract later, these turbines cost more, because other countries want to do the same. It is not easy to procure these turbines. The Swiss Federal Office of Energy has now done an excellent job for six months so that prices can be massively reduced. It has negotiated with the suppliers and has now been awarded the contract. The point is that these materials do not go to another country. That is why it is not fair to this work to come forward here and say that we are disregarding the will of Parliament. I don't want that, and neither do we. That is very important to me.","climate","2025-12-30T09:59:20.602339Z"
True,"243939_3","FR",70,"1","2025-12-13T00:35:24.480027Z",3007,1076.082,"As the agreement with Indonesia was negotiated in full clarity with the partners, if there were to be a replica of it as part of an eventual agreement with Malaysia, then the aspects that are causing you concern would have been taken into account.","non_climate","2025-12-13T00:35:24.480027Z"
True,"353669_2","FR",71,"1","2025-12-13T00:35:37.017800Z",3008,18.295,"We therefore unreservedly support this agreement, and also the position of the committee, which has proposed a number of modifications to the version adopted by the Council of States.","non_classifiable","2025-12-30T10:45:01.343476Z"
True,"225743_3","DE",72,"1","2025-12-13T00:36:14.729171Z",3009,37.481,"No one in this room disputes that traffic has become more hectic, and motorists are increasingly overwhelmed despite electronic assistants. There are more and more signals, even though the Federal Council once spoke of a halving strategy. But since this has petered out somewhere, there are now more and more signals. The age for medical examinations of senior citizens is being raised and the number of refresher courses for new drivers is being reduced. Making the rules even more complicated here is the wrong approach. We urgently need to stick to simple rules. When does passing constitute a lane change? When is it passing and when is it overtaking? Perhaps allowing drivers to pass on the right would actually increase capacity somewhat. I'm not against that. It's still better to increase capacity than to build new lanes.","non_climate","2025-12-13T00:36:14.729171Z"
True,"314264_1","DE",73,"1","2025-12-13T00:36:25.718036Z",3010,10.733,"Yes, Mr. Girod, can you tell me how we are helping the global climate if we rely on electric cars here in Switzerland and export our old petrol and diesel cars to other countries? How does that help the global climate?","climate","2025-12-13T00:36:25.718036Z"
